Label,Content
A,「親愛的殺手」大膽探索社會邊緣人的情感關係，尺度更是火辣無極限，今日同時也公布本片入選第44屆香港電影節新秀電影競賽單元，挑戰今年度最具爭議話題情慾國片，並帶給觀眾大銀幕視覺感官震撼！電影也確定於12月4日在台上映。「親愛的殺手」劇照。圖／威視提供鄭人碩挑戰從影最大尺度情慾演出。圖／威視提供
A,準金曲歌王黃明志來台通過檢疫，14天自主隔離出關，今受訪稱趁這段時間充分休息，雖然有點消瘦，但身體沒問題。過往女友陪著闖蕩，這回雙方分隔兩地，他自嘲1個男人生活環境就像住在垃圾堆中，打趣稱：「要就女友，不然就女傭，感覺不能自理，要有人照顧我。」
A,兩人愛情長跑10年，恰巧近日演藝圈喜事連連，是否也悄悄登記了？他急忙否認稱還沒結婚，目前也沒進度表，笑說：「登記一定會說，我們是正正當當。」另因女友作風低調，無意願跟他步上金曲紅毯，反倒黃爸爸躍躍欲試，黃明志只說來回得隔離共28天，且得要插鼻子採集樣本，爸爸聞言稍微退卻。
A,他以「亞洲通話」專輯3度角逐金曲獎最佳國語男歌手，並獲年度歌曲提名，認為贏得評審認同已無比開心，看好周華健、張震嶽封王，「他們唱的不只是歌，是人生、也是屬於我們 的集體回憶。」多次入圍金曲不僅讓大馬民眾對他改觀，邀約更接踵而來，近來有2家保險套廠商邀約代言，他說：「希望可以談成，送個2箱來我家，用量大是好的！」黃明志3度角逐金曲歌王。圖／亞洲通文創提供黃明志跟女友愛情長跑10年，對婚事仍沒計畫表。圖／亞洲通文創提供黃明志來台通過檢疫，14天自主隔離出關。圖／亞洲通文創提供
A,浩子和阿翔雖是老搭檔，但頻率不對私下從不聯絡，沒想到今年他暑假請假一個月陪孩子，意外得知要跟阿翔全家相處7天，整個晴天霹靂，更沒想到的是兩個撇除工作之外，說一句話都嫌多的男人，女兒竟然成了閨密，阿翔大女兒小泡芙和浩子的女兒Queenie還一起睡，乍看以為戴著假髮的浩翔睡在一起。
A,浩子在乎家人，每年固定請長假陪小孩，今年選7月中放暑假，跟顏永烈一家相約去台南LONG STAY，沒想到聊一聊，竟變成網路節目「鬧著玩」團隊要一起去拍攝。浩子完全沉浸在放暑假的喜悅，到出發前才想到，那他的暑假不就有阿翔一起了，瞬間晴天霹靂。
A,晚上浩翔會跟小孩們玩遊戲，加上顏永烈的小孩總共有7個，有一晚在客廳玩躲貓貓，輪到浩子當鬼要找小孩時，第一個找到的就是顏永烈的兒子，他躲在永烈的椅子下，結果因為顏永烈忍不住偷笑出賣了兒子，讓小孩一下就破功被找到，小孩超生氣，因為這一偷笑害得顏永烈父子冷戰一整晚。
A,而阿翔小女兒舒芙蕾，則古靈精怪的躲進鞋櫃裡面，浩子認真的找好久都沒找到，舒芙蕾也在鞋櫃裡等好久都沒有鬼來找他，最後才自己探出頭來，也因此得到浩子阿伯提供的獎學金250元。
A,最後一天在台南錄影，每個人許一個願望，抽到誰的願望，就全部的人一起去實現，結果抽到阿翔的願望。阿翔寫的是這一趟回台南還沒做的事，是要去看阿公、阿嬤，於是大家就跟著阿翔出發了。阿公、阿嬤已經94歲，浩子問阿公有看我們的節目嗎？翔爸在一旁搶答說：「有啊！」然後，阿公才幽幽的說：「都看瓜哥的節目啦。」
A,其實，胡瓜節目只有阿翔沒浩子，這下浩子臉上又三條線，盡快甩開阿翔，去放他接下來單純的暑假。阿翔小女兒舒芙蕾，則古靈精怪的躲進鞋櫃裡面。圖／鬧著玩提供浩子在兩家小孩之中成了孩子王。圖／鬧著玩提供阿翔和小朋友玩捉迷藏遊戲。圖／鬧著玩提供
